show,brand,model,voltage,exp_capacity,current,type,cutoff,file,interval,comment,
1,MOX,NA,1.2,3600,200,NiMH,0.8,MOX-AA-3600mAh-Discharge.csv,1,NA,
1,Panasonic,Platinum Power,1.5,NA,200,Alkaline,0.8,Panasonic-PlatinumPower-AA-0124.csv,1,Expire: 01/2024,
0,Panasonic,SuperHyper,1.5,NA,200,Zinc,0.8,Panasonic-SuperHyper-AA-1116.csv,1,Expire: 11/2016,
1,Rontek,NA,1.2,1800,202,NiMH,0.8,Rontek-1800mAh-AA.csv,1,NA,
0,Sony,Cyber-shot,1.2,2100,201,NiMH,0.8,Sony-CyberShot-Old-2100mAh.csv,1,Super old and found inside a old Sony camera.,
1,Duracell,Duralock,1.5,NA,201,Alkaline,0.8,Duracell-Duralock-AA-0321.csv,1,Expire: 03/2021,
1,Duracell,Duralock,1.5,NA,100,Alkaline,0.8,Duracell-Duralock-AA-0321-100mA.csv,1,Expire: 03/2021,
1,Duracell,Quantum,1.5,NA,205,Alkaline,0.8,Duracell-Quantum-AA-1224.csv,1,Expire: 12/2024,
1,Duracell,Quantum,1.5,NA,100,Alkaline,0.8,Duracell-Quantum-AA-1224-100mA.csv,1,Expire: 12/2024,
1,Duracell,UltraPower,1.5,NA,100,Alkaline,0.8,Duracell-UltraPower-AA-100mA.csv,5,Expire: 12/2023,
1,Panasonic,Power Alkaline,1.5,NA,100,Alkaline,0.8,Panasonic-PowerAlkaline-AA-100mA.csv,5,Expire: 07/2022,
1,Sony,Alkaline,1.5,NA,100,Alkaline,0.8,Sony-Alkaline-AA-100mA.csv,5,Expire: 01/2023,
1,Elgin,Yellow,1.5,NA,25,Zinc,0.8,Elgin-Zinc-AA-25mA.csv,5,Expire: 03/2018,
